Species,Number,Site,date collected,complete increments,O/T,Age,D1 (mm) (to edge),D2 (mm),D3 (mm),otolith measurement check & comments,initial oto reader (initials),checker (initials),SL (mm),FL (mm),TL (mm),whole Body mass (g),gonad mass (g),somatic mass (g),Predicted TL 2022,Predicted TL 2021,Predicted Somatic Mass (g) 2022,Predicted Somatic Mass (g) 2021,Predicted growth 2021-2022 (g)
CHPU,2022-CHPU-BK-001,BK,5/25/22,6,O,6,3.162,3.088,2.967,"yes, MAS altered",KR,,158,178,199,117.4,0.1,117.3,193,185,107.6,93.7,13.8
CHPU,2022-CHPU-BK-002,BK,5/25/22,3,T,4,3.263,3.263,2.932,"yes, MAS",KR,,164,184,206,130.2,0.66,129.5,205,182,129.9,90,39.9
CHPU,2022-CHPU-BK-003,BK,5/25/22,3,T,4,3.235,3.235,2.985,"yes, MAS",KR,,163,184,206,138.5,2.03,136.5,203,186,126.1,95.7,30.4
CHPU,2022-CHPU-BK-004,BK,5/25/22,3,T,4,3.047,3.047,2.871,"yes, MAS",KR,,148,167,188,91.1,0.03,91.1,190,178,102.7,83.7,19.1
CHPU,2022-CHPU-BK-005,BK,5/25/22,3,T,4,3.204,3.204,2.918,"yes, MAS altered",KR,,168,191,214,173.9,0.66,173.2,201,181,122,88.5,33.5
CHPU,2022-CHPU-BK-006,BK,5/25/22,2,O,2,3.041,2.946,2.421,"yes, MAS altered",KR,,151,170,191,111.3,1.1,110.2,183,146,91.5,46,45.5
CHPU,2022-CHPU-BK-007,BK,5/25/22,2,T,3,2.963,2.963,2.768,"yes, MAS altered",KR,,148,168,191,104.2,0.06,104.1,184,170,93.3,73.7,19.6
CHPU,2022-CHPU-BK-008,BK,5/25/22,4,O,4,3.045,2.971,2.688,"yes, MAS altered",KR,,151,173,194,107.7,0.06,107.6,185,165,94.2,66.5,27.7
CHPU,2022-CHPU-BK-009,BK,5/25/22,3,T,4,3.046,3.046,2.85,"yes, MAS",KR,,160,181,204,134.2,3.42,130.8,190,176,102.6,81.6,21.1
CHPU,2022-CHPU-BK-010,BK,5/25/22,2,T,3,2.869,2.869,2.489,"yes, MAS altered",KR,,140,158,179,85.8,0.08,85.7,178,151,83.5,50.7,32.7
CHPU,2022-CHPU-BK-011,BK,5/25/22,3,T,4,3.076,3.076,2.879,"yes, MAS altered",KR,,152,172,191,112.3,0.11,112.2,192,178,106.1,84.5,21.7
CHPU,2022-CHPU-BK-012,BK,5/25/22,3,T,4,3.029,3.029,2.738,"yes, MAS altered",KR,,155,175,198,111.7,,111.7,189,168,100.7,70.9,29.7
CHPU,2022-CHPU-BK-013,BK,5/25/22,3,O,3,2.962,2.864,2.623,"yes, MAS",KR,,138,158,175,83.2,0.52,82.7,177,160,83,61.1,21.9
CHPU,2022-CHPU-BK-014,BK,5/25/22,3,T,4,3.056,3.056,2.887,"yes, MAS altered",KR,,161,178,202,125,0.16,124.8,191,179,103.8,85.3,18.5
CHPU,2022-CHPU-BK-015,BK,5/25/22,2,T,3,2.988,2.988,2.854,"yes, MAS altered",KR,,147,168,188,95.2,0.08,95.1,186,177,96,82,14.1
CHPU,2022-CHPU-BK-016,BK,5/25/22,3,T,4,3.271,3.271,3.215,"yes, MAS altered",KR,,152,171,194,116.6,3.24,113.4,206,202,130.9,123.5,7.5
CHPU,2022-CHPU-BK-017,BK,5/25/22,,,,,,,"don't use, no otolith",KR,,118,137,155,57.8,0.08,57.7,,0,,,
CHPU,2022-CHPU-BK-018,BK,5/25/22,2,T,3,3.193,3.193,3.034,"yes, MAS",KR,,167,190,213,164,5.33,158.7,201,189,120.6,101.2,19.4
CHPU,2022-CHPU-BK-019,BK,6/8/22,2,T,3,2.998,2.998,2.844,"yes, MAS altered",KR,,148,170,192,100.1,0.05,100.1,187,176,97.2,81,16.2
CHPU,2022-CHPU-BK-020,BK,6/8/22,3,T,4,3.125,3.125,2.945,"yes, MAS altered",KR,,157,179,203,137.7,4.42,133.3,196,183,112,91.4,20.7
CHPU,2022-CHPU-BK-021,BK,6/8/22,3,T,4,3.313,3.313,3.187,"yes, MAS altered",KR,,159,181,203,131.3,0.72,130.6,209,200,136.8,119.8,16.9
CHPU,2022-CHPU-BK-022,BK,6/8/22,4,T,5,3.084,3.084,2.933,"yes, MAS altered",KR,,152,170,199,123.9,2.65,121.3,193,182,107.1,90.1,17
CHPU,2022-CHPU-BK-023,BK,6/8/22,1,T,2,2.606,2.606,2.383,"yes, MAS altered",KR,,119,136,156,56.5,0.8,55.7,159,143,59.7,43.5,16.2
CHPU,2022-CHPU-BK-024,BK,6/8/22,2,O,2,2.923,2.805,2.382,"yes, MAS",KR,,138,158,180,88.8,0.06,88.7,173,143,77.2,43.4,33.8
CHPU,2022-CHPU-BK-025,BK,6/8/22,1,T,2,2.663,2.663,2.512,"yes, MAS altered",KR,,116,135,155,51.6,0.01,51.6,163,152,64.4,52.5,11.9
CHPU,2022-CHPU-BK-026,BK,6/8/22,2,T,3,3.255,3.255,2.996,"yes, MAS",KR,,156,179,203,132.1,0.03,132.1,205,187,128.8,96.9,31.8
CHPU,2022-CHPU-BK-027,BK,6/8/22,2,T,3,3.137,3.137,2.901,"yes, MAS altered",KR,,150,172,194,106,0.54,105.5,197,180,113.5,86.7,26.8
CHPU,2022-CHPU-BK-028,BK,6/8/22,3,T,4,3.312,3.312,3.117,"yes, MAS",KR,,171,195,220,167,2.32,164.7,209,195,136.6,111.1,25.6
CHPU,2022-CHPU-BK-029,BK,6/8/22,1,T,2,2.561,2.561,2.431,"yes, MAS",MS,,114,131,151,53.8,0.54,53.3,156,147,56.1,46.7,9.5
CHPU,2022-CHPU-BK-030,BK,6/8/22,3,T,4,3.2,3.2,2.938,"yes, MAS",KR,,158,182,205,129.7,0.08,129.6,201,183,121.5,90.6,30.9
CHPU,2022-CHPU-BK-031,BK,6/8/22,2,T,3,2.842,2.842,2.707,"yes, MAS",KR,,142,163,184,88.2,0.04,88.2,176,166,80.8,68.2,12.6
CHPU,2022-CHPU-BK-032,BK,6/8/22,1,T,2,2.686,2.686,2.462,"yes, MAS",KR,,127,147,167,62.4,0.04,62.4,165,149,66.4,48.8,17.5
CHPU,2022-CHPU-BK-033,BK,6/8/22,2,T,3,3.177,3.177,2.989,"yes, MAS",KR,,148,171,192,104.3,0.03,104.3,199,186,118.5,96.2,22.4
CHPU,2022-CHPU-BK-034,BK,6/8/22,,,,,,,"don't use, no otolith",KR,,133,154,175,68.6,0.04,68.6,,0,,,
CHPU,2022-CHPU-BK-035,BK,6/8/22,4,T,5,3.082,3.082,2.903,"yes, MAS altered",KR,,145,165,189,97.8,0.47,97.3,193,180,106.8,86.9,19.9
CHPU,2022-CHPU-BK-036,BK,6/8/22,2,T,3,3.162,3.162,2.97,"yes, MAS",KR,,150,166,193,124.5,4.53,120,198,185,116.6,94.1,22.6
CHPU,2022-CHPU-BK-037,BK,6/8/22,4,T,5,2.779,2.779,2.676,"yes, MAS altered",KR,,137,155,177,72.9,0.04,72.9,171,164,74.7,65.5,9.2
CHPU,2022-CHPU-BK-038,BK,6/8/22,3,T,4,2.943,2.943,2.827,"yes, MAS altered",KR,,143,163,184,85.4,0.05,85.4,183,175,91.1,79.3,11.8
CHPU,2022-CHPU-BK-039,BK,6/8/22,3,T,4,3.024,3.024,2.931,"yes, MAS altered",KR,,145,166,187,101.6,0.05,101.6,189,182,100.1,89.9,10.2
CHPU,2022-CHPU-BK-040,BK,7/7/22,3,T,4,2.805,2.805,2.547,"yes, MAS altered",KR,,127,143,164,63.4,0.73,62.7,173,155,77.2,55.1,22.1
CHPU,2022-CHPU-BK-041,BK,7/7/22,2,T,3,3.02,3.02,2.755,"yes, MAS altered",KR,,150,172,193,100.7,0.91,99.8,188,170,99.6,72.5,27.1
CHPU,2022-CHPU-BK-042,BK,7/7/22,1,T,2,2.726,2.726,2.533,"yes, MAS",KR,,124,142,162,56.9,0.31,56.6,168,154,69.9,54,15.9
CHPU,2022-CHPU-BK-043,BK,7/7/22,2,T,3,2.871,2.719,2.457,"yes, MAS",KR,,163,183,210,145.4,0.54,144.9,167,149,69.2,48.5,20.8
CHPU,2022-CHPU-BK-044,BK,7/7/22,,,,,,,"don't use, no otolith",KR,,138,159,179,83.5,1.04,82.5,,0,,,
CHPU,2022-CHPU-BK-045,BK,7/7/22,3,T,4,2.932,2.932,2.774,"yes, MAS",KR,,145,165,188,94.6,0.65,94,182,171,90,74.3,15.7
CHPU,2022-CHPU-BK-046,BK,7/7/22,0,O,1,2.232,2.232,0,"yes, MAS altered",MS,,96,112,126,29.3,0.06,29.2,133,0,34.4,0,34.4
CHPU,2022-CHPU-BK-047,BK,7/7/22,1,T,2,2.668,2.668,2.461,"yes, MAS altered",KR,,120,138,155,52.9,0.46,52.4,163,149,64.8,48.8,16.1
CHPU,2022-CHPU-BK-048,BK,7/7/22,1,T,2,2.493,2.493,2.358,"yes, MAS altered",KR,,116,132,151,50.7,1.34,49.4,151,142,51,41.9,9.2
CHPU,2022-CHPU-BK-049,BK,7/7/22,2,T,3,2.697,2.697,2.589,"yes, MAS altered",KR,,129,147,166,66.2,0.01,66.2,165,158,67.3,58.3,9
CHPU,2022-CHPU-BK-050,BK,7/7/22,1,T,2,2.568,2.568,2.403,"yes, MAS",KR,,125,144,165,66.6,0.05,66.6,156,145,56.7,44.8,11.9
CHPU,2022-CHPU-BK-051,BK,7/7/22,1,T,2,2.709,2.709,2.539,"yes, MAS altered",KR,,140,159,179,76.6,0.04,76.6,166,154,68.4,54.4,13.9
CHPU,2022-CHPU-BK-052,BK,7/7/22,0,T,1,2.215,2.215,0,"yes, MAS altered",MS,,98,112,128,27.2,0.02,27.2,131,0,33.4,0,33.4
